City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
London,GB,1562129358,51.51,-0.13,46,81,57,1.12
Paris,FR,1562128909,48.86,2.35,0,71,60.01,6.93
